stn_id,stn_addr,stn_lat,stn_lng,nearby_id,nearby_km
ST-936,서울특별시 구로구 시흥대로 551,37.482883,126.901039,ST-950,0.09403328421628661
ST-935,서울특별시 서초구 동작대로 138 소방빌딩,37.488972,126.982719,ST-730,0.06338607738528704
ST-934,서울특별시 관악구 신사로 7,37.484661,126.9039,ST-2653,0.052113600071139035
ST-933,서울특별시 송파구 백제고분로 188,37.5042,127.087532,ST-1728,0.05688645001012604
ST-932,서울특별시 동작구 현충로 지하 90,37.508587,126.963493,ST-692,0.08883191700214496
ST-931,서울특별시 성북구 동소문로13길 38,37.591694,127.012497,ST-2229,0.11430945009563051
ST-930,서울특별시 송파구 오금로 지하 499,37.493343,127.14473,ST-895,0.08366338270687547
ST-93,서울특별시 은평구 수색로 지하175,37.575069,126.899918,ST-2529,0.017071180795954623
ST-929,서울특별시 서초구 양재대로2길 8,37.459953,127.024742,ST-2416,0.10783967607882396
ST-928,서울특별시 서초구 신반포로16길 30,37.501713,126.995476,ST-2664,0.23021924898498827
ST-927,서울특별시 서초구 고무래로 34,37.502636,127.012314,ST-745,0.2823427361559022
ST-926,서울특별시 서초구 헌릉로 226,37.454407,127.064926,ST-1314,0.13991981542287182
ST-925,서울특별시 서초구 청계산로 지하 179,37.447659,127.055016,ST-742,0.15285580707890292
ST-924,서울특별시 동작구 동작대로 지하 3,37.476891,126.980576,ST-712,0.11131783105829698
ST-923,서울특별시 동작구 사당로 지하 310,37.485508,126.981621,ST-2355,0.10125979725351485
ST-922,서울특별시 동작구 성대로14길 46,37.496799,126.952873,ST-1667,0.07468941209693816
ST-921,서울특별시 동작구 상도로 지하 378,37.496094,126.954071,ST-1667,0.065999801790392
ST-920,서울특별시 구로구 경인로40길 47,37.494995,126.858253,ST-870,0.11614090124250678
ST-92,서울특별시 마포구 매봉산로 8,37.571476,126.889687,ST-91,0.48988306824883276
ST-919,서울특별시 구로구 경인로 445,37.499889,126.867699,ST-675,0.07749740243750908
ST-918,서울특별시 구로구 도림천로 351,37.494404,126.894447,ST-1237,0.20626212850381292
